new.seqID	dG	dH	dS	Tm
EBV-1-3;NA	-7	-51.6	-143.8	85.7
MIR-324-5P;hsa-miR-324-5p|1x|5x	-3	-47.7	-144.1	57.8
MIR-153;NA	-4.4	-49.1	-144.1	67.5
MIR-383;NA	-2.8	-47.6	-144.4	56.4
EBV-1-2-star;NA	-4.7	-49.5	-144.4	69.5
MIR-886-3P;NA	-5.5	-50.3	-144.4	75.1
MIR-585;NA	-5.9	-50.8	-144.8	77.8
MIR-195;hsa-miR-195-5p|2x|1x	-1.3	-46.4	-145.4	45.9
MIR-377-rno;NA	-3.7	-48.8	-145.4	62.4
MIR-763;NA	-7.5	-52.7	-145.7	88.5
MIR-374-star;NA	-0.7	-46	-146.1	41.8
MIR-95;NA	-1.7	-47	-146.1	48.6
MIR-622;NA	-2	-47.4	-146.4	50.7
MIR-568;NA	-4.6	-50	-146.4	68.4
MIR-545;NA	-4.9	-50.3	-146.4	70.5
BRCAT98-30;NA	-5.9	-51.3	-146.4	77.3
MIR-466D-5P;NA	-6.4	-51.9	-146.7	80.6
RLCV-4-5P;NA	-2.3	-47.9	-147	52.6
EBV-3-3P;NA	-5.1	-50.7	-147	71.7
RLCV-5-3P;NA	-5.1	-50.7	-147	71.7
PCA3-30;PCA3-30|1x|10x	-1.7	-47.5	-147.7	48.5
MIR-648;NA	-5.6	-51.4	-147.7	74.9
MIR-758;NA	-1.8	-47.7	-148	49.2
RLCV-7;NA	-3.3	-49.2	-148	59.3
MIR-804;NA	-4.8	-50.7	-148	69.4
MIR-706;NA	-4.9	-50.8	-148	70.1
MIR-643;NA	-2.4	-48.4	-148.3	53.2
MIR-466A-5P;NA	-3.7	-49.8	-148.6	61.9
CAT2168-15;NA	-4	-50.1	-148.6	63.9
MIR-24;hsa-miR-24-3p|1x|1.5x	-4.9	-51	-148.6	70
SV40-S1-5P;NA	-5.3	-51.4	-148.6	72.7
MIR-344-3P-mmu;NA	-1.7	-47.9	-149	48.4
MIR-221;hsa-miR-221-3p|10x|1x	-1.9	-48.2	-149.3	49.7
MIR-881-rno;NA	-2.3	-48.6	-149.3	52.4
PRCAT104-30;PRCAT104-30|1x|1x	-5.4	-51.8	-149.6	73.1
KSHV-K12-6-3P;NA	-6.1	-52.5	-149.6	77.8
MIR-760-3P;NA	-3	-49.5	-149.9	57
MIR-503-hsa;NA	-7.7	-54.2	-149.9	88.4
MIR-146B-5P;hsa-miR-146b-5p|1x|1x	-0.9	-47.5	-150.2	43
MIR-15A;hsa-miR-15a-5p|4x|1x	-2.8	-49.4	-150.2	55.6
MIR-291A-3P;NA	-3.8	-50.4	-150.2	62.3
EBV-18-3P;NA	-4.7	-51.3	-150.2	68.3
MIR-423-3P;NA	-4.8	-51.4	-150.2	68.9
MIR-500-5P;hsa-miR-500a-5p|1x|2x	-6	-52.6	-150.2	76.9
MIR-510;NA	-4.2	-50.9	-150.6	64.9
MIR-367;NA	-4.7	-51.5	-150.9	68.1
ARTIF-2A;NA	-6	-53	-151.5	76.6
MIR-220C;NA	-4.4	-51.5	-151.9	66
MIR-563;NA	-3.3	-50.5	-152.2	58.7
MIR-500-3P;NA	-5.5	-52.7	-152.2	73.1
HCMV-US33-5P;NA	-8.7	-55.9	-152.2	94.2
MIR-26A;hsa-miR-26a-5p|1x|3x	-1	-48.3	-152.5	43.6
MIR-879;NA	-6.3	-53.6	-152.5	78.3
MIR-619;NA	-5.8	-53.2	-152.8	75
MIR-519E;NA	-2.3	-49.8	-153.2	52
MIR-127;hsa-miR-127-3p|1x|3x	-6.4	-53.9	-153.2	78.8
EBV-1-1;NA	-1.5	-49.2	-153.8	46.8
MIR-764-5P;NA	-0.7	-48.5	-154.1	41.5
MIR-99A;hsa-miR-99a-5p|3x|1x	-1.2	-49.1	-154.4	44.8
MIR-880-mmu;NA	-3.5	-51.4	-154.4	59.7
MIR-880-rno;NA	-3.5	-51.4	-154.4	59.7
MIR-469;NA	-3.1	-51.2	-155.1	57
HIV1-H1;NA	-6.9	-55.1	-155.4	81.4
MIR-614;NA	-7.3	-55.6	-155.7	83.9
MIR-421-5P;NA	-0.7	-49.1	-156.1	41.5
MIR-18B;NA	-4.7	-53.3	-156.7	67
MIR-344-3P-rno;NA	-1.9	-50.6	-157	49.1
MIR-548B-3P;NA	-0.5	-49.5	-158	40.2
MIR-665;NA	-3.9	-52.9	-158	61.7
MIR-707;NA	-0.7	-49.8	-158.3	41.4
EBV-11-5P;NA	-2.4	-51.6	-158.6	52.1
MIR-768-3P;NA	-1.6	-50.9	-159	47.1
MIR-653;NA	-1.9	-51.2	-159	49
PRCAT47-30;NA	-4.9	-54.3	-159.3	67.8
MIR-298;NA	-5.8	-55.2	-159.3	73.4
MIR-210;hsa-miR-210-3p|4x|1x	-3	-52.5	-159.6	55.8
KSHV-K12-9;NA	-6.7	-56.2	-159.6	79
MIR-509-3P-rno;NA	-1.6	-51.2	-159.9	47
MIR-801;NA	-2.6	-52.2	-159.9	53.3
MIR-325-5P;NA	-2.4	-52.2	-160.6	51.9
MIR-351-mmu;NA	-2.7	-52.5	-160.6	53.8
MIR-351;NA	-2.7	-52.5	-160.6	53.8
MIR-573;NA	-3.2	-53	-160.6	56.9
MIR-370;hsa-miR-370-3p|1x|2x	-6.8	-56.6	-160.6	79.3
MIR-105-hsa;NA	-1.6	-51.5	-160.9	46.9
MIR-105-rno;NA	-1.6	-51.5	-160.9	46.9
MIR-344-5P-2;NA	-5.2	-55.2	-161.2	69.3
MIR-344-5P;NA	-5.2	-55.2	-161.2	69.3
MIR-518C-star;NA	-5.1	-55.2	-161.5	68.6
MIR-518C;NA	-4.4	-54.8	-162.5	64.1
HSV1-LAT;NA	-9.1	-59.5	-162.5	93
MIR-743B-5P;NA	-1.8	-52.3	-162.8	48.1
MIR-322;NA	-1.6	-52.2	-163.1	46.8
HCMV-US5-1;NA	-2.3	-53.1	-163.8	51
PRCAT65-30;NA	-6.7	-57.6	-164.1	77.8
MIR-653-rno;NA	-2.3	-53.5	-165.1	50.9
MIR-554;NA	-2.3	-53.8	-166	50.9
MIR-675-3P;NA	-3.1	-54.7	-166.4	55.6
PRCAT122-30;NA	-1.7	-53.5	-167	47.2
MIR-191-star;NA	-3.4	-55.3	-167.3	57.3
ARTIF-9A;NA	-3.7	-55.6	-167.3	59.1
MIR-33B;NA	-5.9	-58	-168	72.1
MIR-650;NA	-4	-56.3	-168.6	60.7
MIR-679;NA	-7.2	-59.5	-168.6	79.7
KSHV-K12-1;NA	-5.9	-58.3	-169	71.9
MIR-432;hsa-miR-432-5p|10x|1x	-1.9	-54.4	-169.3	48.2
BRCAT98-45;NA	-0.1	-53.2	-171.2	37.6
MIR-770-5P;NA	-4.1	-57.2	-171.2	60.9
MIR-689;NA	-10.7	-63.8	-171.2	99.5
MIR-671-5P;hsa-miR-671-5p|10x|1x	-9.7	-63.1	-172.2	93.3
MIR-888-star;NA	-6.1	-60.2	-174.4	72
MIR-187;NA	-1.2	-55.4	-174.8	43.9
MIR-17-star-mmu;NA	-4.1	-58.4	-175.1	60.4
MIR-658;NA	-6.6	-60.9	-175.1	74.7
KSHV-K12-3;NA	-1.3	-55.7	-175.4	44.4
MIR-193A-3P;NA	-4.2	-58.6	-175.4	60.9
MIR-621;NA	-5.1	-59.6	-175.7	66
MIR-873;NA	-3.4	-58.1	-176.4	56.3
MIR-661;NA	-8.8	-63.5	-176.4	86.9
PRCAT73-30;NA	-7.5	-62.3	-176.7	79.4
MIR-675-5P;NA	-4.8	-59.7	-177	64.1
MIR-675;NA	-4.8	-59.7	-177	64.1
MIR-147B;NA	-7	-62.1	-177.7	76.4
MIR-296-3P;NA	-7.6	-62.9	-178.3	79.6
RLCV-2;NA	-3	-58.4	-178.6	53.8
MIR-181C;NA	-3.6	-59	-178.6	57.2
MIR-453-rno;NA	-1.3	-56.9	-179.3	44.3
PRCAT98-30;NA	-3.9	-59.5	-179.3	58.8
MIR-297C-rno;NA	-4.8	-60.4	-179.3	63.8
MIR-297C;NA	-4.8	-60.4	-179.3	63.8
MIR-540-3P;NA	-2.8	-58.6	-179.9	52.6
MIR-337-5P;NA	-3.5	-59.4	-180.2	56.4
MIR-674;NA	-5.8	-61.8	-180.6	69.1
KSHV-K12-3-star;NA	-7.7	-63.7	-180.6	79.6
MIR-496_1;NA	-0.7	-56.9	-181.2	40.9
MIR-560;NA	-6.7	-62.9	-181.2	74
MIR-597;NA	-3.8	-60.2	-181.8	57.9
MIR-147A;NA	-4.7	-61.1	-181.8	62.8
MIR-490-5P;NA	-4	-60.6	-182.5	58.9
MIR-378;NA	-4.9	-61.6	-182.8	63.8
ACTB-45;ACTB-45|3x|1x	-4.7	-61.9	-184.4	62.5
EBV-15;NA	-1.3	-58.6	-184.7	44
MIR-33A;hsa-miR-33a-5p|8x|1x	-6.8	-64.1	-184.7	73.8
MIR-636;NA	-3.4	-61	-185.7	55.3
MIR-665-hsa;NA	-6.7	-64.3	-185.7	73.1
MIR-540-5P;NA	-8.5	-66.2	-186	82.7
MIR-194;NA	-3.3	-61.2	-186.7	54.7
MIR-693-3P;NA	-7.8	-65.7	-186.7	78.8
CAT390-30;NA	-3.4	-62	-188.9	55
MIR-468;NA	-1.7	-60.6	-189.9	46
DSCAM-AS1.1-30;NA	-3.9	-62.9	-190.2	57.5
MIR-496_3;NA	-1.1	-60.3	-190.9	42.8
MIR-105-mmu;NA	-4.2	-63.7	-191.8	58.9
ARTIF-5A;NA	-4.6	-64.1	-191.8	61
MIR-882B;NA	-3	-62.7	-192.5	52.6
MIR-759;NA	-4.3	-64	-192.5	59.3
MIR-345-5P;NA	-3.9	-63.7	-192.8	57.2
MIR-31-2;NA	-4.9	-64.7	-192.8	62.4
MIR-9;hsa-miR-9-5p|1x|1x	-2.4	-62.4	-193.5	49.4
MIR-345-5P-hsa;hsa-miR-345-5p|1x|4x	-5	-65.5	-195.1	62.6
MIR-666-5P;NA	-5	-65.9	-196.4	62.5
LACAT75-45;NA	-4.8	-65.9	-197	61.4
LSCAT212-45;LSCAT212-45|1x|2x	-5	-66.1	-197	62.4
MIR-608;NA	-8	-69.2	-197.3	77.5
MIR-422A;NA	-5.1	-66.7	-198.6	62.7
MIR-770-3P-hsa;NA	-4.6	-66.4	-199.3	60.1
MIR-770-3P;NA	-4.6	-66.4	-199.3	60.1
MIR-611;NA	-9.6	-71.4	-199.3	85.2
PRCAT104-75;PRCAT104-75|1x|8x	-7.3	-69.2	-199.6	73.6
MIR-639;NA	-5.9	-68.1	-200.5	66.4
MIR-623;NA	-7.1	-69.4	-200.9	72.3
MIR-686;NA	-5.2	-68	-202.5	62.7
PRCAT122-60;NA	-8.1	-70.9	-202.5	77
MIR-449C;NA	-5.4	-68.4	-203.1	63.6
LSCAT212-60;LSCAT212-60|1x|3x	-5.7	-68.9	-203.8	65
CAT2168-30;NA	-4.1	-67.4	-204.1	57.1
BRCAT32-45;NA	-9.3	-72.7	-204.4	82.5
MIR-638;NA	-6.2	-69.9	-205.4	67.2
MIR-637;NA	-9.9	-73.6	-205.4	85.2
MIR-666-3P;NA	-5.7	-69.8	-206.7	64.6
MIR-330-3P-hsa;hsa-miR-330-3p|1x|1.5x	-5.1	-69.4	-207.3	61.6
MIR-330-3P;NA	-5.1	-69.4	-207.3	61.6
MIR-31;NA	-5.6	-69.9	-207.3	64
MIR-612;NA	-5.6	-69.9	-207.3	64
MIR-409-5P;NA	-3.9	-68.7	-208.9	55.7
MIR-217-hsa;NA	-3.5	-68.5	-209.6	53.7
MIR-769-3P;NA	-7.5	-73.2	-211.8	72.4
CAT2168-45;NA	-6.6	-72.8	-213.4	67.9
HCMV-US25-2-3P;NA	-5.2	-73.6	-220.5	60.6
PRCAT122-45;NA	-6.4	-74.9	-220.9	66
BRCAT1-45;NA	-4.7	-73.6	-222.2	58.2
GAPDH-45;NA	-7	-76.4	-223.8	68.3
LACAT75-30;NA	-6.4	-76.6	-226.3	65.3
MIR-593-star;NA	-6.4	-76.6	-226.3	65.3
ACTB-30;ACTB-30|1.5x|1x	-8.2	-80.2	-232.1	72.3
MIR-453-mmu;NA	-4.1	-76.5	-233.4	54.6
BRCAT54-60;NA	-3.9	-76.9	-235.4	53.6
MIR-744;hsa-miR-744-5p|1.5x|1x	-5.6	-78.7	-235.7	60.8
PRCAT47-45;NA	-4.3	-77.8	-237	55.1
PCA3-45;PCA3-45|1x|5x	-7	-80.8	-237.9	66.4
MIR-801-mmu;NA	-5.9	-79.8	-238.3	61.8
HBA1-60;HBA1-60|1x|1x	-4.3	-79.5	-242.5	54.7
CAT819-45;NA	-4.6	-80.7	-245.4	55.7
GAPDH-30;NA	-7.5	-83.7	-245.7	67.5
BRCAT1-30;NA	-4.6	-83.8	-255.4	55
SCHLAP1-45;NA	-5.6	-85.3	-257	58.8
HBB-30;HBB-30|1x|4x	-8.4	-88.2	-257.3	69.6
MIR-298-hsa;NA	-9.2	-89.4	-258.6	72.6
LACAT4-60;NA	-5.4	-86.2	-260.5	57.7
CAT390-45;NA	-8.4	-90.7	-265.4	68.7
LACAT1-45;NA	-10.9	-94.6	-269.9	77.4
PRCAT73-45;NA	-6.3	-90.5	-271.5	60.2
HBB-45;HBB-45|5x|1x	-8.1	-93.5	-275.4	66.4
PRCAT98-60;NA	-10.3	-96.9	-279.2	73.9
LACAT6-60;NA	-9.3	-97	-282.8	69.9
BRCAT54-45;NA	-7.4	-95.8	-285	63
BRCAT3-30;BRCAT3-30|2x|1x	-12	-101.1	-287.3	78.8
BRCAT98-60;NA	-11.6	-104.9	-300.8	75.6
LACAT6-75;NA	-4.1	-98.1	-303.1	50.5
PRCAT98-45;NA	-10.8	-105.9	-306.6	72.2
LACAT4-45;NA	-6.1	-101.6	-307.9	56.8
LACAT75-60;NA	-12.3	-108.2	-309.2	76.8
GAPDH-60;NA	-7.9	-104.6	-311.8	62.3
PRCAT73-60;NA	-6.3	-105.2	-318.9	56.8
BRCAT2-45;NA	-8.2	-111.7	-333.7	61.6
PRCAT47-60;NA	-8.4	-113.1	-337.6	61.9
PRCAT65-45;NA	-7.9	-115.1	-345.6	59.9
HBA2-75;HBA2-75|1x|8x	-16.4	-124.9	-349.8	83.9
CAT2168-75;NA	-11.9	-121.6	-353.7	70.6
CAT390-60;NA	-9.1	-119.6	-356.3	62.5
BRCAT2-75;NA	-9.3	-120.1	-357.2	63
ACTB-60;ACTB-60|1x|3x	-13.5	-127.5	-367.6	73.7
BRCAT32-75;NA	-10	-130.3	-387.9	62.8
LACAT1-60;NA	-8.1	-129.7	-392.1	57.7
PRCAT104-45;PRCAT104-45|2x|1x	-13.2	-135	-392.7	70.6
BRCAT3-45;BRCAT3-45|1x|1.5x	-10.2	-133.4	-397.2	62.7
BRCAT32-60;NA	-7.9	-131.4	-398.2	56.8
CAT819-75;NA	-13.6	-139.3	-405.3	70.6
HBB-60;HBB-60|8x|1x	-13.5	-140.5	-409.5	70
LACAT6-90;NA	-8.2	-136.5	-413.7	56.8
HBA2-60;HBA2-60|10x|1x	-14.1	-143.5	-417.2	70.8
BRCAT2-90;NA	-11.5	-144.1	-427.5	63.9
PRCAT65-60;NA	-18.7	-155.5	-441.1	79.4
PRCAT122-75;NA	-9.6	-146.6	-441.7	58.7
CAT819-60;NA	-14.2	-151.6	-443	69.1
SCHLAP1-60;NA	-13.9	-153	-448.5	68
BRCAT98-75;NA	-15.5	-156.8	-455.6	71
BRCAT1-75;NA	-12.7	-155.6	-460.7	64.6
CAT390-75;NA	-8.9	-152.4	-462.7	56.2
PCA3-90;PCA3-90|3x|1x	-9.6	-153.9	-465.3	57.6
PRCAT104-60;PRCAT104-60|1x|1x	-15.6	-161	-468.8	70.3
HBA1-75;HBA1-75|1x|3x	-18.1	-163.8	-469.8	75.5
BRCAT1-60;NA	-12.3	-158.2	-470.4	63.1
PCA3-60;PCA3-60|10x|1x	-14.4	-161	-472.7	67.5
HBB-75;HBB-75|8x|1x	-21.6	-168.9	-474.9	82.5
DSCAM-AS1.1-75;NA	-21.5	-170.4	-480.1	81.8
BRCAT2-60;NA	-8.8	-157.9	-480.7	55.3
PRCAT65-75;NA	-12.6	-163.8	-487.5	62.8
BRCAT54-75;NA	-10.3	-162.2	-489.8	58
DSCAM-AS1.1-60;NA	-16.5	-170.8	-497.5	70.2
PRCAT73-75;NA	-15.8	-172	-503.6	68.4
PRCAT104-90;PRCAT104-90|1x|1x	-14.2	-171	-505.6	65.1
PRCAT47-75;NA	-15.9	-174	-509.8	68.2
CAT2168-60;NA	-17.5	-176.8	-513.6	71.1
BRCAT54-90;NA	-15.5	-175.6	-516.2	67
BRCAT3-90;BRCAT3-90|8x|1x	-12.6	-178.6	-535.2	60.5
CAT390-90;NA	-14.4	-181.4	-538.4	63.7
PRCAT98-75;NA	-20.6	-188.5	-541.4	75.1
PCA3-75;PCA3-75|10x|1x	-15.4	-187.2	-553.9	64.8
LACAT75-75;NA	-23.4	-195.8	-555.9	79.1
LACAT4-75;NA	-15.5	-188.4	-557.5	64.8
PRCAT122-90;NA	-20.5	-194.3	-560.4	73.6
ACTB-75;ACTB-75|5x|1x	-27.8	-204	-568.1	85.9
LACAT75-90;NA	-17.2	-196.7	-578.8	66.7
LSCAT212-90;LSCAT212-90|1.5x|1x	-16.3	-196.8	-582	65
BRCAT98-90;NA	-13.1	-193.9	-582.9	59.5
HBB-90;HBB-90|4x|1x	-18.8	-200	-584.2	69.2
LACAT1-75;NA	-18	-201.6	-592	67.4
ACTB-90;ACTB-90|1x|1x	-15	-199.1	-593.6	62.3
PRCAT73-90;NA	-19	-205.5	-601.3	68.6
CAT2168-90;NA	-16.3	-203.7	-604.2	64
LACAT4-90;NA	-15.2	-205	-612	61.8
SCHLAP1-75;NA	-26.7	-220.9	-626.1	79.6
PRCAT65-90;NA	-15.8	-211.4	-630.7	62.1
PRCAT98-90;NA	-22.5	-221	-640	72.2
LSCAT212-75;LSCAT212-75|1x|2x	-14.6	-213.6	-641.6	59.8
GAPDH-75;NA	-29	-228	-641.6	82.2
BRCAT1-90;NA	-21.7	-226.7	-661	69.8
LACAT1-90;NA	-24.5	-233.8	-674.8	73.3
CAT819-90;NA	-20	-234	-690	66
BRCAT3-75;BRCAT3-75|1x|4x	-24.2	-240.1	-696.1	71.8
HBA2-90;HBA2-90|3x|1x	-21.7	-248.9	-732.5	66.6
HBA1-90;HBA1-90|5x|1x	-21.9	-254.6	-750.3	66.2
DSCAM-AS1.1-90;NA	-24.9	-258.7	-753.8	70
PRCAT47-90;NA	-28.6	-266.1	-765.8	74.3
BRCAT32-90;NA	-28	-269.6	-779	72.9
SCHLAP1-90;NA	-20.4	-280	-837	61.4
GAPDH-90;NA	-35	-305.1	-870.9	77.2
